model,method,benchmark,slice,n,public_evaluated_n,public_correct,public_accuracy,strict_paired_n,strict_paired_accuracy,public_paired_accuracy
gemma4_12b,memforest,longmemeval,single-session-assistant,56,56,26,0.4642857142857143,56,0.44642857142857145,0.4642857142857143
gemma4_12b,memforest,longmemeval,single-session-preference,30,30,19,0.6333333333333333,30,0.6,0.6333333333333333
gemma4_12b,memforest,longmemeval,single-session-user,70,70,67,0.9571428571428572,70,0.9285714285714286,0.9571428571428572
gemma4_12b,memforest,longmemeval,temporal-reasoning,133,133,114,0.8571428571428571,133,0.849624060150376,0.8571428571428571
gemma4_12b,memforest_embed,locomo,adversarial,446,446,90,0.20179372197309417,446,0.09417040358744394,0.20179372197309417
gemma4_12b,memforest_embed,locomo,cat1-4,1540,1540,1258,0.8168831168831169,1540,0.7383116883116884,0.8168831168831169
gemma4_12b,memforest_embed,locomo,multi-hop,282,282,246,0.8723404255319149,282,0.6914893617021277,0.8723404255319149
gemma4_12b,memforest_embed,locomo,open-ended,96,96,55,0.5729166666666666,96,0.5,0.5729166666666666
gemma4_12b,memforest_embed,locomo,overall,1986,1986,1348,0.6787512588116817,1986,0.5936555891238671,0.6787512588116817
gemma4_12b,memforest_embed,locomo,single-hop,841,841,676,0.8038049940546967,841,0.7633769322235434,0.8038049940546967
gemma4_12b,memforest_embed,locomo,temporal,321,321,281,0.8753894080996885,321,0.7850467289719626,0.8753894080996885
gemma4_12b,memforest_embed,longmemeval,knowledge-update,78,78,66,0.8461538461538461,78,0.8205128205128205,0.8461538461538461
gemma4_12b,memforest_embed,longmemeval,multi-session,133,133,99,0.7443609022556391,133,0.7368421052631579,0.7443609022556391
gemma4_12b,memforest_embed,longmemeval,overall,500,500,392,0.784,500,0.772,0.784
gemma4_12b,memforest_embed,longmemeval,single-session-assistant,56,56,26,0.4642857142857143,56,0.42857142857142855,0.4642857142857143
gemma4_12b,memforest_embed,longmemeval,single-session-preference,30,30,18,0.6,30,0.6333333333333333,0.6
gemma4_12b,memforest_embed,longmemeval,single-session-user,70,70,66,0.9428571428571428,70,0.9285714285714286,0.9428571428571428
gemma4_12b,memforest_embed,longmemeval,temporal-reasoning,133,133,117,0.8796992481203008,133,0.8721804511278195,0.8796992481203008
gemma4_12b,memoryos,locomo,adversarial,446,446,155,0.3475336322869955,446,0.289237668161435,0.3475336322869955
gemma4_12b,memoryos,locomo,cat1-4,1540,1540,1209,0.785064935064935,1540,0.6974025974025974,0.785064935064935
gemma4_12b,memoryos,locomo,multi-hop,282,282,235,0.8333333333333334,282,0.6170212765957447,0.8333333333333334
gemma4_12b,memoryos,locomo,open-ended,96,96,55,0.5729166666666666,96,0.5208333333333334,0.5729166666666666
gemma4_12b,memoryos,locomo,overall,1986,1986,1364,0.6868076535750252,1986,0.6057401812688822,0.6868076535750252
gemma4_12b,memoryos,locomo,single-hop,841,841,681,0.8097502972651606,841,0.7788347205707491,0.8097502972651606
gemma4_12b,memoryos,locomo,temporal,321,321,238,0.7414330218068536,321,0.6074766355140186,0.7414330218068536
gemma4_12b,memoryos,longmemeval,knowledge-update,78,78,52,0.6666666666666666,78,0.6666666666666666,0.6666666666666666
