qid,session_id,tree_id,tree_type,is_global_fallback,fact_count,same_tree_collision
28dc39ac,answer_8d015d9d_3,tree:scene:gaming_magic_system_ef820ea4,scene,False,28,True
28dc39ac,answer_8d015d9d_3,tree:scene:gaming_story_1cf925dd,scene,False,28,True
28dc39ac,answer_8d015d9d_4,entity:celeste,entity,False,9,True
28dc39ac,answer_8d015d9d_4,entity:character_development,entity,False,1,False
28dc39ac,answer_8d015d9d_4,entity:firewatch,entity,False,2,True
28dc39ac,answer_8d015d9d_4,entity:gone_home,entity,False,2,True
28dc39ac,answer_8d015d9d_4,entity:hyper_light_drifter,entity,False,2,True
28dc39ac,answer_8d015d9d_4,entity:ori_and_the_blind_forest,entity,False,4,True
28dc39ac,answer_8d015d9d_4,entity:spelunky,entity,False,1,False
28dc39ac,answer_8d015d9d_4,entity:user,entity,True,6,True
28dc39ac,answer_8d015d9d_4,entity:what_remains_of_edith_finch,entity,False,12,True
28dc39ac,answer_8d015d9d_4,tree:scene:gaming_3d2ee1b3,scene,False,2,True
28dc39ac,answer_8d015d9d_4,tree:scene:gaming_8619c892,scene,False,5,True
28dc39ac,answer_8d015d9d_4,tree:scene:gaming_8bbc36ae,scene,False,4,True
28dc39ac,answer_8d015d9d_4,tree:scene:gaming_game_story_145ec7a8,scene,False,1,False
28dc39ac,answer_8d015d9d_4,tree:scene:gaming_game_story_1da2c906,scene,False,4,True
28dc39ac,answer_8d015d9d_4,tree:scene:gaming_storytelling_f210f336,scene,False,17,True
28dc39ac,answer_8d015d9d_5,entity:assassin_s_creed_odyssey,entity,False,1,False
28dc39ac,answer_8d015d9d_5,entity:celeste,entity,False,5,True
28dc39ac,answer_8d015d9d_5,entity:god_of_war_2018,entity,False,2,True
28dc39ac,answer_8d015d9d_5,entity:horizon_zero_dawn,entity,False,2,True
28dc39ac,answer_8d015d9d_5,entity:hyper_light_drifter,entity,False,2,True
28dc39ac,answer_8d015d9d_5,entity:ori_and_the_blind_forest,entity,False,2,True
28dc39ac,answer_8d015d9d_5,entity:red_dead_redemption_2,entity,False,1,False
28dc39ac,answer_8d015d9d_5,entity:spelunky,entity,False,2,True
28dc39ac,answer_8d015d9d_5,entity:the_last_of_us_part_ii,entity,False,2,True
28dc39ac,answer_8d015d9d_5,entity:the_witcher_3_wild_hunt,entity,False,1,False
28dc39ac,answer_8d015d9d_5,entity:user,entity,True,13,True
28dc39ac,answer_8d015d9d_5,tree:scene:gaming_50ac93bf,scene,False,1,False
28dc39ac,answer_8d015d9d_5,tree:scene:gaming_8bbc36ae,scene,False,16,True
28dc39ac,answer_8d015d9d_5,tree:scene:gaming_console_release_38852236,scene,False,2,True
28dc39ac,answer_8d015d9d_5,tree:scene:gaming_magic_system_ef820ea4,scene,False,26,True
28dc39ac,answer_8d015d9d_5,tree:scene:gaming_story_1cf925dd,scene,False,20,True
28dc39ac,bfa499f7,entity:user,entity,True,17,True
28dc39ac,bfa499f7,tree:scene:birding_3470d9f1,scene,False,1,False
28dc39ac,bfa499f7,tree:scene:education_learning_440ca0fb,scene,False,3,True
28dc39ac,bfa499f7,tree:scene:nature_wildlife_458c2814,scene,False,23,True
28dc39ac,bfa499f7,tree:scene:outdoor_portability_ce69cfa4,scene,False,5,True
28dc39ac,bfa499f7,tree:scene:travel_4e0c1da4,scene,False,6,True
28dc39ac,c6bb96ce_6,entity:amazon,entity,False,1,False
28dc39ac,c6bb96ce_6,entity:neutral_color,entity,False,1,False
28dc39ac,c6bb96ce_6,entity:user,entity,True,13,True
28dc39ac,c6bb96ce_6,tree:scene:cleaning_fabric_maintenance_290ff135,scene,False,3,True
28dc39ac,c6bb96ce_6,tree:scene:furniture_shopping_fc33a4b2,scene,False,17,True
28dc39ac,c6bb96ce_6,tree:scene:home_decor_dd8ccd14,scene,False,9,True
28dc39ac,c6bb96ce_6,tree:scene:home_furnishings_furniture_care_abedf1cb,scene,False,1,False
28dc39ac,c6bb96ce_6,tree:scene:home_gift_ff58086c,scene,False,3,True
28dc39ac,c6bb96ce_6,tree:scene:home_maintenance_fabric_care_f1274ebc,scene,False,1,False
28dc39ac,c6bb96ce_6,tree:scene:interior_design_furniture_f96dcb96,scene,False,3,True
28dc39ac,c862f65a_2,entity:user,entity,True,8,True
28dc39ac,c862f65a_2,tree:scene:finance_loyalty_programs_bdcf3a3f,scene,False,9,True
28dc39ac,c862f65a_2,tree:scene:shopping_8e57585d,scene,False,19,True
28dc39ac,cbd18c72,entity:stretching_exercises,entity,False,2,True
28dc39ac,cbd18c72,entity:the_witcher,entity,False,1,False
28dc39ac,cbd18c72,entity:user,entity,True,24,True
28dc39ac,cbd18c72,tree:scene:entertainment_9e598a2a,scene,False,13,True
28dc39ac,cbd18c72,tree:scene:entertainment_book_description_b3ab265b,scene,False,13,True
28dc39ac,cbd18c72,tree:scene:fitness_warm-up_ca12afa9,scene,False,6,True
28dc39ac,cbd18c72,tree:scene:gaming_magic_system_ef820ea4,scene,False,2,True
28dc39ac,cbd18c72,tree:scene:gaming_story_1cf925dd,scene,False,2,True
28dc39ac,cbd18c72,tree:scene:lifestyle_morning_routine_1b79b504,scene,False,2,True
28dc39ac,cbd18c72,tree:scene:literature_science_fiction_2829e25d,scene,False,8,True
28dc39ac,cbd18c72,tree:scene:productivity_task_prioritization_3e09be39,scene,False,1,False
28dc39ac,cbd18c72,tree:scene:shopping_8e57585d,scene,False,4,True
28dc39ac,cbd18c72,tree:scene:transportation_commuting_7834a728,scene,False,3,True
28dc39ac,df003c93_3,entity:stretching_exercises,entity,False,1,False
28dc39ac,df003c93_3,entity:user,entity,True,7,True
28dc39ac,df003c93_3,tree:scene:fitness_warm-up_ca12afa9,scene,False,22,True
28dc39ac,df003c93_3,tree:scene:nutrition_breakfast_91051b1b,scene,False,4,True
28dc39ac,df003c93_3,tree:scene:running_b28fa67b,scene,False,1,False
28dc39ac,f5b33470_abs,entity:user,entity,True,18,True
28dc39ac,f5b33470_abs,tree:scene:blogging_2766167f,scene,False,5,True
28dc39ac,f5b33470_abs,tree:scene:coffee_6ba737c5,scene,False,1,False
28dc39ac,f5b33470_abs,tree:scene:cooking_2820be66,scene,False,7,True
28dc39ac,f5b33470_abs,tree:scene:food_blogging_87a53609,scene,False,26,True
28dc39ac,f5b33470_abs,tree:scene:food_coffee_2d79cd4b,scene,False,26,True
28dc39ac,f5b33470_abs,tree:scene:home_gift_ff58086c,scene,False,1,False
28dc39ac,f5b33470_abs,tree:scene:lifestyle_morning_routine_1b79b504,scene,False,1,False
28dc39ac,sharegpt_RuLt4Z6_0,entity:user,entity,True,1,False
28dc39ac,sharegpt_RuLt4Z6_0,tree:scene:communication_bd17fe2c,scene,False,2,True
28dc39ac,sharegpt_lciWqqK_53,entity:user,entity,True,3,True
28dc39ac,sharegpt_lciWqqK_53,tree:scene:data_science_data_analysis_f96ace56,scene,False,8,True
28dc39ac,sharegpt_lciWqqK_53,tree:scene:real_estate_real_estate_analysis_a3f48cad,scene,False,1,False
28dc39ac,sharegpt_lciWqqK_53,tree:scene:software_development_coding_064bac68,scene,False,1,False
28dc39ac,ultrachat_265736,entity:user,entity,True,1,False
28dc39ac,ultrachat_265736,tree:scene:astronomy_330faa38,scene,False,9,True
28dc39ac,ultrachat_265736,tree:scene:science_solar_system_c7812a30,scene,False,1,False
28dc39ac,ultrachat_265736,tree:scene:space_space_exploration_355f94ff,scene,False,3,True
28dc39ac,ultrachat_319214,entity:india,entity,False,1,False
28dc39ac,ultrachat_319214,entity:user,entity,True,3,True
28dc39ac,ultrachat_319214,tree:scene:environment_sustainability_b83c5069,scene,False,10,True
28dc39ac,ultrachat_319214,tree:scene:nature_wildlife_458c2814,scene,False,7,True
28dc39ac,ultrachat_319214,tree:scene:travel_air_travel_2b520021,scene,False,6,True
28dc39ac,ultrachat_319214,tree:scene:travel_flight_pricing_85b419c0,scene,False,6,True
28dc39ac,ultrachat_319214,tree:scene:wildlife_00a7af91,scene,False,1,False
28dc39ac,ultrachat_452868,entity:user,entity,True,4,True
28dc39ac,ultrachat_452868,tree:scene:sports_af3c711e,scene,False,27,True
28dc39ac,ultrachat_499533,entity:user,entity,True,2,True
28dc39ac,ultrachat_499533,tree:scene:literature_science_fiction_2829e25d,scene,False,17,True
28dc39ac,ultrachat_499533,tree:scene:politics_ead7df43,scene,False,5,True
28dc39ac,ultrachat_541509,entity:user,entity,True,1,False
28dc39ac,ultrachat_541509,tree:scene:arts_cultural_diversity_e9010361,scene,False,1,False
28dc39ac,ultrachat_541509,tree:scene:culture_festivals_96135fcd,scene,False,2,True
28dc39ac,ultrachat_541509,tree:scene:food_blogging_87a53609,scene,False,4,True
28dc39ac,ultrachat_541509,tree:scene:food_coffee_2d79cd4b,scene,False,4,True
28dc39ac,ultrachat_541509,tree:scene:history_c6ebbda2,scene,False,1,False
28dc39ac,ultrachat_541509,tree:scene:linguistics_d02e73a4,scene,False,10,True
28dc39ac,ultrachat_541509,tree:scene:literature_science_fiction_2829e25d,scene,False,1,False
28dc39ac,ultrachat_541509,tree:scene:music_2da2a3e1,scene,False,2,True
28dc39ac,ultrachat_548710,entity:disneyland,entity,False,17,True
28dc39ac,ultrachat_548710,entity:user,entity,True,5,True
28dc39ac,ultrachat_548710,tree:scene:finance_loyalty_programs_bdcf3a3f,scene,False,1,False
28dc39ac,ultrachat_548710,tree:scene:transportation_commuting_7834a728,scene,False,1,False
28dc39ac,ultrachat_548710,tree:scene:travel_4e0c1da4,scene,False,1,False
28dc39ac,ultrachat_548710,tree:scene:travel_a137e61f,scene,False,4,True
28dc39ac,ultrachat_548710,tree:scene:travel_airline_services_5f810646,scene,False,17,True
28dc39ac,ultrachat_548710,tree:scene:travel_transportation_25b54a63,scene,False,6,True
28dc39ac,ultrachat_572863,entity:united_states,entity,False,2,True
28dc39ac,ultrachat_572863,tree:scene:economics_employment_acd8fbaa,scene,False,2,True
28dc39ac,ultrachat_572863,tree:scene:space_space_exploration_355f94ff,scene,False,12,True
28dc39ac,ultrachat_572863,tree:scene:technology_ai_capabilities_aabf7509,scene,False,2,True
bc8a6e93,0394b98f,entity:user,entity,True,8,True
bc8a6e93,0394b98f,tree:scene:aquarium_dcf0203b,scene,False,30,True
bc8a6e93,0394b98f,tree:scene:finance_de2c7f7d,scene,False,2,True
bc8a6e93,05594106_1,entity:basil,entity,False,1,False
bc8a6e93,05594106_1,entity:user,entity,True,11,True
bc8a6e93,05594106_1,tree:scene:art_6372e5e1,scene,False,1,False
bc8a6e93,05594106_1,tree:scene:art_art_style_6e6ca1ac,scene,False,5,True
bc8a6e93,05594106_1,tree:scene:art_creativity_2fbde4e6,scene,False,6,True
bc8a6e93,05594106_1,tree:scene:gardening_plants_1124052d,scene,False,10,True
bc8a6e93,05594106_1,tree:scene:home_decor_3392b050,scene,False,2,True
bc8a6e93,05594106_1,tree:scene:home_organization_organization_087aafc8,scene,False,6,True
bc8a6e93,05594106_1,tree:scene:interior_design_a0f26799,scene,False,2,True
bc8a6e93,1cb7a6c4_4,entity:user,entity,True,37,True
bc8a6e93,1cb7a6c4_4,tree:scene:art_creativity_2fbde4e6,scene,False,53,True
